SMILES,BBB
CNCCCN1c2ccccc2CCc2ccccc12,+
COc1ccc2CC3C4CCCCC4(CCN3C)c2c1,+
CN1c2ccc(Cl)cc2C(=NCC1=O)c1ccccc1,+
Clc1ccc(cc1)C(C#N)c1c(Cl)cc(cc1Cl)-n1ncc(=O)[nH]c1=O,-
OCC1CCC(O1)n1cnc2c1[nH]cnc2=O,-
NCCCN1c2ccccc2Sc2ccc(Cl)cc12,+
NCCCN1c2ccccc2CCc2ccccc12,+
CN(C)CCOC(c1ccccc1)c1ccccc1,+
CC12NC(Cc3ccccc13)c1ccccc21,+
COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC,+
CN(C)CCC=C1c2ccccc2COc2ccccc12,+
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,+
CCCCCCCCCCCCCCCCCCOCC(COP(O)(=O)OCC[N+](C)(C)C)OC,-
COC(=O)C1C(C)CC(Nc2cccc(c2)[N+]([O-])=O)=CC1=O,-
COC(=O)C1C(C)CC(Nc2cccc(OC(F)(F)F)c2)=CC1=O,-
COC(=O)C1C(C)CC(Nc2ccc(Cl)cc2)=CC1=O,+
CN1CC(CC2C1CC1=C3C(NC=C1)C=CC=C23)C(=O)NC1(C)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,-
CCO,+
CCOC(C)=O,+
CCc1cccc2c3CCOC(CC)(CC(O)=O)c3[nH]c12,-
COc1ccc(cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1)C(C)C,+
CCC(=O)N(C1CCN(CCc2ccccc2)CC1)c1ccccc1,+
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-
OC(COCF)Cn1ccnc1N(=O)=O,-
FC(F)(F)COC=C,+
FC=COC=CF,+
Nc1ccc(cc1I)-c1nc2ccc(O)cc2s1,+
NCC1(CC(O)=O)CCCCC1,-
COc1ccc2CN(C)CCC34C=CC(O)CC3Oc1c24,+
COc1ccc2CN(C)CC3=CC(O)CC4Oc1c2C34,+
FC(F)(F)c1ccnc(c1)N1CCN(CCCCN2CCCC2=O)CC1,+
CN1C2CCCC1CC(C2)NC(=O)c1nn(C)c2ccccc12,+
CCNC(NC#N)=NCCSCc1ncccc1Br,-
NC(N)=Nc1nc(cs1)-c1ccccc1,-
NC(N)=Nc1nc(cs1)-c1cccc(N)c1,-
CNC(Nc1cccc(c1)-c1csc(N=C(N)N)n1)=NC#N,-
CC(=O)Nc1cccc(c1)-c1csc(N=C(N)N)n1,-
CCc1ccc(cc1)-n1cnc2c(sc3nccc(N(C)CCc4ccccn4)c23)c1=O,-
CCc1ccc(cc1)-n1cnc2c(sc3nccc(N(C)C)c23)c1=O,-
O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1ccc2cnn(CCN3CCCC3)c2c1,-
Clc1ccc2oc(=O)cc(NC3CCN(Cc4ccc5OCCc5c4)CC3)c2c1,-
NCCc1nccs1,-
NCCc1nc(cs1)-c1ccccc1,-
OCCOCCN1CCN(CC1)C(c1ccccc1)c1ccc(Cl)cc1,+
CN=C(NC#N)Nc1cccc(c1)-c1csc(N=C(N)N)n1,-
Cc1cnc(N=C(N)N)s1,-
COc1cccnc1CCCCNc1nc(=O)c(Cc2ccc(C)nc2)c[nH]1,-
CN(C)CCCN1c2ccccc2CCc2ccccc12,+
Ic1ccc(CN2CCCCC2)cc1CN1CCCCC1,+
CCC(C)Nc1ccc(I)c(NC(C)CC)c1,+
CC(C)COC(C)=O,+
CC(C)CCOC(C)=O,+
CC(C)OC(C)=O,+
CN(C)Cc1ccc(cc1)-c1c[nH]c(=O)c2cccc(O)c12,+
CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,-
CCN(CC)CC(=O)Nc1c(C)cccc1C,+
OC1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O,+
ClC(=Cn1cncn1)c1ccc(Cl)cc1Cl,+
CN1CCN(CC1)C1=Nc2ccccc2Oc2ccc(Cl)cc12,+
CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc(C)nc3)c[nH]2)o1,-
CN(C)Cc1ccc(o1)-c1cccc(Nc2[nH]ccc2[N+]([O-])=O)c1,-
CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1,-
Cc1ccc(Cc2cnc(NCCSCc3ccc(o3)C(C)(C)N)[nH]c2=O)cn1,-
OCC(O)C(O)C(O)C(O)CO,-
CNCCCC12CCC(c3ccccc13)c1ccccc21,+
COc1ccc(cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1)C(C)(C)C,+
CCN(CC)Cc1ccc2CC(CCc2c1)N1CCN(CCc2ccc(F)cc2)CC1=O,+
Clc1ccc2[nH]nc(NC3CCN(Cc4ccc5OCOc5c4)CC3)c2c1,+
Clc1ccc2oc(=O)cc(NC3CCN(CC=Cc4ccccc4)CC3)c2c1,+
CCc1ccc(cc1)-c1ccc(cc1)C(=O)N(C)C1CCN(C1)C(=O)N1CCC(C1)N1CCCCC1,+
COc1ccc2[nH]nc(NC3CCN(Cc4ccc5OCOc5c4)CC3)c2c1,+
COc1cc(ccc1OCCN1CCCC1)-n1cnc2cc(sc2c1=O)-c1ccc(Cl)cc1,+
CCCC(C)(COC(N)=O)COC(N)=O,-
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,+
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,+
COC(F)(F)C(Cl)Cl,+
COC(C)=O,-
CSC(N)=N,-
COC(C)(C)C,+
CN(C)c1ccnc2sc3c(ncn(N4CCCCCC4)c3=O)c12,+
Cc1ncc2CN=C(c3ccccc3F)c3cc(Cl)ccc3-n12,+
COn1cc(C(O)=O)c(=O)c2cc3OCOc3cc12,-
CN1CCN2C(C1)c1ccccc1Cc1cccnc21,+
CCC(C)n1ncn(-c2ccc(cc2)N2CCN(CC2)c2ccc(OCC3COC(CSc4nncn4C)(O3)c3ccc(Cl)cc3)cc2)c1=O,-
CNCCCN1c2ccccc2Sc2ccccc12,+
COc1ccccc1N1CCN(CCN(C(=O)c2ccc(F)cc2)c2ccccn2)CC1,+
Cc1c(CCOC(=O)c2cc(=O)c3c(Cl)cc(Cl)cc3[nH]2)sc[n+]1C,-
CCn1cc(C(O)=O)c(=O)c2ccc(C)nc12,-
COc1ccc2cc(ccc2c1)C(C)C(O)=O,+
CCCN1CCOC2C1CCc1ccc(O)cc21,+
OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,+
[O-][N+](=O)c1ccc(C=NN2CC(=O)NC2=O)o1,-
Clc1ccc2NC(=O)CC(=O)N(c3ccccc3)c2c1,+
c1ccc2c(c1)[nH]c1cnccc21,+
CSc1ccc2Sc3ccccc3N(CCC3CCCNC3)c2c1,+
CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(C)cc12,+
COc1ccc2nc([nH]c2c1)S(=O)Cc1ncc(C)c(OC)c1C,-
Cc1nc2C(O)CCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12,-
CC1C2Cc3ccc(O)cc3C1(C)CCN2CC=C(C)C,+
CCCCCOC(C)=O,+
CCCN1CC(CSC)CC2C1Cc1c[nH]c3cccc2c13,+
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,+
COc1ccc(cc1CNC1CCCNC1c1ccccc1)-c1nccs1,+
COc1cc2sc(C)nc2cc1CNC1CCCNC1c1ccccc1,+
COc1cc2oc(C)nc2cc1CNC1CCCNC1c1ccccc1,+
COc1ccc(cc1CNC1CCCNC1c1ccccc1)-n1nc(C)cc1C,+
COc1cc2sc(nc2cc1CNC1CCCNC1c1ccccc1)C(C)(C)C,+
CC(C)Oc1cc2sc(C)nc2cc1CNC1CCCNC1c1ccccc1,+
COc1cc2sc(nc2cc1CNC1CCCNC1c1ccccc1)-c1ccccc1,+
COc1cc2sc(nc2cc1CNC1CCCNC1c1ccccc1)C1CC1,+
COc1ccccc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,+
COc1ccccc1CNC1CCCNC1c1ccccc1,+
COc1ccc(cc1CNC1CCCNC1c1ccccc1)C(C)C,+
COc1ccc(cc1CNC1CCCNC1c1ccccc1)C(C)(C)C,+
COc1ccc(cc1CNC1CCCNC1c1ccccc1)S(C)(=O)=O,-
COc1cc2CCN(c2cc1CNC1C2CCN(C2)C1C(c1ccccc1)c1ccccc1)S(C)(=O)=O,-
COc1cc2CC(C)N(c2cc1CNC1CCCNC1c1ccccc1)S(C)(=O)=O,-
COc1ccc(cc1CNC1CCCNC1c1ccccc1)N1CCCC1=O,-
COc1ccc(cc1CNC1CCCNC1c1ccccc1)N(c1nc(C)c(C)s1)S(C)(=O)=O,-
C1CCN(CC1)C1(CCCCC1)c1ccccc1,+
CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,-
CNC(=O)Oc1ccc2N(C)C3N(C)CCC3(C)c2c1,+
CC(C)(C)[N+]([O-])=Cc1cc[n+]([O-])cc1,-
CC(C)NCC(O)COc1ccc(NC(C)=O)cc1,-
COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)c1ccco1,-
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO,-
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(O)=O,-
CCN(CC)CCOC(=O)c1ccc(N)cc1,+
CN(C)CCCN1c2ccccc2Sc2ccccc12,+
CC(C)c1cccc(C(C)C)c1O,+
CNC(C)CC1CCCCC1,+
OC1C(Cc2cc(O)cc(O)c2C1=O)c1ccc(O)c(O)c1,-
OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12,+
CN1CCC23CCCCC2C1Cc1ccc(O)cc31,+
NC(=O)c1ncn(n1)C1OC(CO)C(O)C1O,-
OC(=O)CCCCON=C(c1cccnc1)c1cccc(c1)C(F)(F)F,-
CCCOC(=O)c1ccc(N)cc1,+
CCN(C)C(=O)Oc1cccc(c1)C(C)N(C)C,+
CC1NC(N)=Nc2cccc(Cl)c12,-
CC1NC(NCC(F)F)=Nc2cccc(Cl)c12,+
CN1Cc2c(ncn2-c2ccsc2C1=O)C(=O)OC(C)(C)C,-
CS(=O)(=O)c1ccc(cc1)C1=C(C(=O)OC1)c1ccccc1,+
COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1,+
CN(C1CCN(CC(O)COc2ccc(F)cc2)CC1)c1nc2ccccc2s1,+
OC(=O)CNC(=O)c1ccccc1O,-
CN(C)Cc1ccccc1Sc1ccc(F)cc1N,+
CN(C)c1ccccc1Sc1ccc(CCF)cc1N,+
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc12,+
CN(C)c1cc(ccn1)-c1n[nH]c(N)n1,-
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,-
Cc1cn(C2OC(CO)C=C2)c(=O)[nH]c1=O,-
OC(=O)c1cc(ccc1O)N=Nc1ccc(cc1)S(=O)(=O)Nc1ccccn1,-
CCC(NC(=O)c1c(C)c(nc2ccccc12)-c1ccccc1)c1ccccc1,+
CNCCCC1(SC(C)(C)c2ccccc12)c1ccccc1,+
Cc1ccc(Cc2c[nH]c(NCCCCc3ncc(Br)cc3C)nc2=O)cn1,-
CC(C)(C)O,+
CC(C)(C)OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,+
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O,+
COc1cc2CCN3Cc4c(CC3c2cc1OC)ccc(OC)c4OC,+
CC(C)SSC(CCOC(=O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1)=C(C)N(Cc1cnc(C)nc1N)C=O,-
S=C(NC1CCCCC1)N1CCC(CC1)c1c[nH]cn1,+
CC1CC2=C(CCC(=O)C2)C2CCC3(C)C(CCC3(O)C#C)C12,+
COC1CNCCC1NC(=O)c1cc(Cl)c(N)cc1OC,-
CNC(NCCSCc1csc(N=C(N)N)n1)=NC#N,-
CC1Cn2c3c(CN1CC=C(C)C)cc(Cl)cc3[nH]c2=S,+
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,-
CC(C)NCC(O)COc1cccc(C)c1,+
CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,-
COc1cccc(c1)C1(O)CCCCC1CN(C)C,+
NC1CC1c1ccc(F)cc1,+
Cc1nnc2CN=C(c3ccccc3Cl)c3cc(Cl)ccc3-n12,+
CC(CN(C)C)CN1c2ccccc2CCc2ccccc12,+
NC(N)=O,-
C=COC=C,+
Nc1ccn(C2CCC(CO)O2)c(=O)n1,-
Nc1ccn(C2CC(CO)C(CO)O2)c(=O)n1,-
Cc1nc(c[nH]1)-c1csc(NC(N)=N)n1,-
O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2CCCCNc2c1,+
Cc1cn(C2CC(N=[N+]=N)C(CO)O2)c(=O)[nH]c1=O,-
C(CNc1nc2ccccc2s1)COc1cccc(CN2CCCCC2)c1,+
