SMILES,HIA
COCCOCC(CC1(CCCC1)C(=O)NC1CCC(CC1)C(O)=O)C(=O)Oc1ccc2CCCc2c1,+
CCCCCOC(=O)Nc1nc(=O)n(cc1F)C1OC(C)C(O)C1O,+
CC1NC(=O)C(N)CNC(=O)C(NC(=O)C(NC(=O)C(CNC(=O)CC(N)CCCN)NC1=O)=CNC(N)=O)C1CCN=C(N)N1,-
CC(CS)C(=O)N1CCCC1C(O)=O,+
NC(=O)N1c2ccccc2C=Cc2ccccc12,+
NC(=O)N1c2ccccc2C2OC2c2ccccc12,+
CCOC(=O)n1ccn(C)c1=S,+
CC1(C)SC2C(NC(=O)C(C(O)=O)c3ccccc3)C(=O)N2C1C(O)=O,+
NC(=O)NC(CCC(O)=O)C(O)=O,+
ClCCNC(=O)N(CCCl)N=O,+
CC(C(O)=O)c1ccc2c(c1)[nH]c1ccc(Cl)cc21,+
CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12,+
COc1ccccc1OCCNCC(O)OCc1cccc2[nH]c3ccccc3c12,+
Cc1nnc(SCC2=C(N3C(SC2)C(NC(=O)Cn2cnnn2)C3=O)C(O)=O)s1,-
COC1(NC(=O)CSCC#N)C2SCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O,-
CON=C(C(=O)NC1C2SCC(CSc3nc(C)c(CC(O)=O)s3)=C(N2C1=O)C(O)=O)c1csc(N)n1,-
NCc1ccccc1CC(=O)NC1C2SCC(CSc3nnnn3CC(O)=O)=C(N2C1=O)C(O)=O,-
CON=C(C(=C)NC1C2SCC(COC(C)=O)=C(N2C1=O)C(O)=O)c1csc(N)n1,-
CON=C(C(=O)NC1C2SCC(C[n+]3ccccc3)=C(N2C1=O)C(O)=O)c1csc(N)n1,-
CC=CC1=C(N2C(SC1)C(NC(=O)C(N)c1ccc(O)cc1)C2=O)C(O)=O,+
CC(C)(ON=C(C(=O)NC1C2SCC(C[n+]3ccccc3)=C(N2C1=O)C(O)=O)c1csc(N)n1)C(O)=O,-
Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F,+
CC(=O)OCC1=C(N2C(SC1)C(NC(=O)Cc1cccs1)C2=O)C(O)=O,-
CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,+
OC(O)C(Cl)(Cl)Cl,+
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,+
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O,+
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,+
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,+
Clc1ccc(NC(=N)NC(=N)NCCCCNC(=N)NC(=N)Nc2ccc(Cl)cc2)cc1,-
CN1C(c2ccc(Cl)cc2)S(=O)(=O)CCC1=O,+
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,+
Oc1c(Cl)cc(Cl)c2cccnc12,+
OCC(O)COc1ccc(Cl)cc1,+
CN(C)CCN(c1ccc(Cl)cc1)c1ccccn1,+
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,+
NS(=O)(=O)c1cc(ccc1Cl)C1(O)NC(=O)c2ccccc12,+
Clc1ccc2oc(=O)[nH]c2c1,+
C1C(C2=NCCN2)C1(c1ccccc1)c1ccccc1,+
CCC#CCC(C)C(O)C#CC1C(O)CC2CC(CC12)=CCOCC(O)=O,+
CC(C)NCC(O)COc1ccc(OCCOCC2CC2)cc1,+
Nc1ccn(CC(CO)OCP(O)(O)=O)c(=O)n1,-
OC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(N2C1=O)C(O)=O,-
COc1ccc(cc1OC1CCCC1)C1(CCC(CC1)C(O)=O)C#N,+
OC(C1CC2CCN1CC2C=C)c1ccnc2ccccc12,+
OC1N=C(c2ccccc2F)c2cc(Cl)ccc2N(CCC#N)C1=O,+
CCn1nc(C(O)=O)c(=O)c2cc3OCOc3cc12,+
CC(C)(Oc1ccc(cc1)C1CC1(Cl)Cl)C(O)=O,+
COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c1cc(Cl)c(N)cc1OC,+
CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,+
OCC=C1OC2CC(=O)N2C1C(O)=O,+
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,+
NC1CCN(C1)c1c(F)cc2c(c1Cl)n(cc(C(O)=O)c2=O)C1CC1,+
CCCC1CC(N(C)C1)C(=O)NC(C(C)Cl)C1OC(SC)C(O)C(O)C1O,+
CN1c2ccc(Cl)cc2N(c2ccccc2)C(=O)CC1=O,+
OP(O)(=O)C(Cl)(Cl)P(O)(O)=O,-
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,+
Cc1ncsc1CCCl,+
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc12,+
[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1,+
Clc1cccc(Cl)c1N=C1NCCN1,+
COC(=O)C(N1CCc2sccc2C1)c1ccccc1Cl,+
OC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,+
Cc1onc(c1C(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O)-c1ccccc1Cl,+
COc1ccc2CC3C4C=CC(O)C5Oc1c2C45CCN3C,+
NCCNCCNCCNCCN,-
Cc1nc2CCN(C(=O)c3ccc(NC(=O)c4ccccc4-c4ccccc4)cc3)c3ccccc3-c2[nH]1,+
CN1C(CCC1=O)c1cccnc1,+
O=c1ccc2ccccc2o1,+
OC(COc1cccc2oc(cc(=O)c12)C(O)=O)COc1cccc2oc(cc(=O)c12)C(O)=O,-
NS(=O)(=O)c1cc2c(NC(CN3CCCC3)NS2(=O)=O)cc1Cl,+
ClCCN(CCCl)P1(=O)NCCCO1,+
COC1CC(OC2CCC3(C=C)C4CCC5(C)C(CCC5(O)C4CCC3(O)C2)C2=CC(=O)OC2)OC(C)C1O,+
CN1CCC(CC1)=C1c2ccccc2C=Cc2ccccc12,+
Nc1ccncc1,+
[O-][N+](=O)c1ccc(cc1)-c1ccc(C=NN2CC(=O)NC2=O)o1,+
Cc1ccccc1N1CCN(CCc2nnc3CCCCn23)CC1,-
Nc1ccc(cc1)S(=O)(=O)c1ccc(O)cc1,+
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,-
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N(CC(O)=O)C1Cc2ccccc2C1,+
CC(C)Nc1cccnc1N1CCN(CC1)C(=O)c1cc2cc(NS(C)(=O)=O)ccc2[nH]1,+
CCCC(CCC)CCCC1COCCN1CCO,+
Clc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,+
CCC12CC(=C)C3C(CCC4=CCCCC34)C1CCC2(O)C#C,+
CC(CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,+
CN1c2ccc(Cl)cc2C(=NCC1=O)c1ccccc1,+
CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,+
OC(=O)Cc1ccccc1Nc1ccc(Cl)cc1Cl,+
CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,+
OCC1CCC(O1)n1cnc2c1[nH]cnc2=O,+
CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N,+
CCN(CC)C(=O)N1CCN(C)CC1,+
CCN(CC)C(C)C(=O)c1ccccc1,+
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,+
OC(=O)c1cc(ccc1O)-c1ccc(F)cc1F,+
COc1ccc2CC3C4CCC(O)C5Oc1c2C45CCN3C,+
CN1CC(CC2C1Cc1c[nH]c3cccc2c13)C(=O)NC1(C)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,+
CN(C(=O)C(Cl)Cl)c1ccc(O)cc1,+
CCOC(=O)C1(CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1)c1ccccc1,+
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1cccnc1)C(C)C,+
CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,-
CCN(CC)C(=S)SSC(=S)N(CC)CC,+
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,+
O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12,+
CN(C)CCC=C1c2ccccc2CSc2ccccc12,+
CCN1CC(CCN2CCOCC2)C(C1=O)(c1ccccc1)c1ccccc1,+
COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)C1COc2ccccc2O1,+
CN(C)CCCC1c2ccccc2COc2ccccc12,+
CCOc1ccc(C=C2NCCc3cc(OCC)c(OCC)cc23)cc1OCC,+
OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,-
NCCCC(N)(C(F)F)C(O)=O,+
Nc1nc(=O)n(cc1F)C1CSC(CO)O1,+
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(O)=O,-
COc1ccc(cc1)C(=O)Nc1ccccc1CCC1CCCCN1C,+
CCn1cc(C(O)=O)c(=O)c2cc(F)c(nc12)N1CCNCC1,+
CSc1ccc(cc1)C(=O)c1[nH]c(=O)[nH]c1C,+
CCN(CC)C(=O)C(=Cc1cc(O)c(O)c(c1)[N+]([O-])=O)C#N,+
Nc1nc2n(cnc2c(=O)[nH]1)C1CC(O)C(CO)C1=C,+
CNC(=O)c1ccc(cc1F)N1C(=S)N(C(=O)C1(C)C)c1ccc(C#N)c(c1)C(F)(F)F,+
CNC(C)C(O)c1ccccc1,+
CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(CCC4(C)C3CCC12C)C(O)=O,+
CCCCc1ncc(C=C(Cc2cccs2)C(O)=O)n1Cc1ccc(cc1)C(O)=O,-
CN1CC(C=C2C1Cc1c[nH]c3cccc2c13)C(=O)NC1(C)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,+
CC(O)C1C2C(C)C(SC3CNC(C3)C(=O)Nc3cccc(c3)C(O)=O)=C(N2C1=O)C(O)=O,-
Clc1ccc-2c(c1)C(=NCc1nncn-21)c1ccccc1,+
CC12CCC3C(CCc4cc(OC(=O)N(CCCl)CCCl)ccc34)C1CCC2O,+
CCC(=O)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl,+
CCC(CO)NCCNC(CC)CO,+
CCO,+
CCc1cc(ccn1)C(N)=S,+
CCC1(C)CC(=O)NC1=O,+
CCN1CCC23C4OC5=C(O)C=CC(CC1C2C=CC4O)C35,+
CC(O)(P(O)(O)=O)P(O)(O)=O,-
CCNCC(O)c1cccc(O)c1,+
CCc1cccc2C3CCOC(CC(O)=O)(CC(O)=O)C3Nc12,+
Cc1ccc(cn1)-c1c(cc(Cl)c[n+]1[O-])-c1ccc(cc1)S(C)(=O)=O,+
Cc1cc(cc(C)c1Oc1nc(Nc2ccc(cc2)C#N)nc(N)c1Br)C#N,-
OC(CCC1C(N(C1=O)c1ccc(F)cc1)c1ccc(O)cc1)c1ccc(F)cc1,+
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,+
CC(C)COc1ccc(cc1C#N)-c1nc(C)c(s1)C(O)=O,+
NC(=O)OCC(COC(N)=O)c1ccccc1,+
CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(Cl)c1Cl)C(=O)OC,+
OC(=O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,+
CCNCC(C)c1cccc(c1)C(F)(F)F,+
CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1,+
CC(C(O)=O)c1cccc(Oc2ccccc2)c1,+
CC(Cc1ccc(O)cc1)NC(O)Cc1cc(O)cc(O)c1,+
O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,+
CC(C)=CCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,+
CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,+
FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC1CCCCN1,+
CN1CCN(CC1)c1c(F)cc2C(=O)C(CN(CCF)c2c1F)C(O)=O,+
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,+
Nc1nc(=O)[nH]cc1F,+
CCOC(=O)c1ncn-2c1CN(C)C(=O)c1cc(F)ccc-21,+
Fc1ccc(cc1)C(N1CCN(CCCc2ccccc2)CC1)c1ccc(F)cc1,+
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO,+
CN1c2ccc(cc2C(=NCC1=O)c1ccccc1F)[N+]([O-])=O,+
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1C(=O)CO,+
CNCCC(Oc1ccc(cc1)C(F)(F)F)c1ccccc1,+
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC12C,+
OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,+
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,+
CCN(CC)CCN1c2ccc(Cl)cc2C(=NCC1=O)c1ccccc1F,+
CC(C(O)=O)c1ccc(cc1)-c1cccc(F)c1,+
CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,+
CC(C)n1c(C=CC(O)CC(O)CC(O)=O)c(-c2ccc(F)cc2)c2ccccc12,+
COCCCCC(=NOCCN)c1ccc(cc1)C(F)(F)F,+
Cc1cn[nH]c1,+
CC1OC1P(O)(O)=O,+
ON(CCCP(O)(O)=O)C=O,+
CNC1CCc2[nH]c3ccc(cc3c2C1)C(N)=O,+
COc1ccc2CN(C)CCC34C=CC(O)CC3Oc1c24,+
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2cc(OC)c(OC)c(OC)c2)cc1OC,+
COc1c(N2CCNC(C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1,+
Cc1ccc(C)c(OCCCC(C)(C)C(O)=O)c1,+
CC(C(O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,+
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,-
CCC1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,-
CCC12CCC3C(CCC4=CC(=O)CCC34)C1C=CC2(O)C#C,+
CC1C(=O)OC2CC34C5CC(C(C)(C)C)C33C(O)C(=O)OC3OC4(C(=O)O5)C12O,+
CC1C(=O)OC2C(O)C34C5CC(C(C)(C)C)C33C(O)C(=O)OC3OC4(C(=O)O5)C12O,+
CC1OC(CC(O)C1O)OC1C(O)CC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CCC4(C)C(C(O)CC54O)C4=CC(=O)OC4)C3)OC2C)OC1C,+
Cc1ccc(cc1)S(=O)(=O)NC(=O)NC1C(O)C2(C)CCC1C2(C)C,+
Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CC2CCCC2C1,+
CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC2CCC(C)CC2)C1=O,+
Cc1cnc(cn1)C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,+
COc1ccc2c(c1)C(=O)N(CCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1)C(=O)C2(C)C,+
OCC(O)CO[N+]([O-])=O,+
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)c1ccccc1,-
COCCOc1cnc(NS(=O)(=O)c2ccccc2)nc1,+
CN1C2CCCC1CC(C2)NC(=O)c1nn(C)c2ccccc12,+
NC(=N)NN=Cc1c(Cl)cccc1Cl,+
NC(=N)NCC1COC2(CCCCC2)O1,+
NC(N)=NC(=O)Cc1c(Cl)cccc1Cl,+
NC(=N)NCC1COc2ccccc2O1,+
OC(=O)CN(CCN(CC(O)=O)Cc1ccccc1O)Cc1ccccc1O,-
CN1C(O)=NC(=O)C(C)(C2=CCCCC2)C1=O,+
NNc1nncc2ccccc12,+
COc1ccc2CC3C4CCC(=O)C5Oc1c2C45CCN3C,+
NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1C(F)(F)F,+
CCN(CCO)CCC(C)Nc1ccnc2cc(Cl)ccc12,+
NC(=O)NO,+
OCCOCCN1CCN(CC1)C(c1ccccc1)c1ccc(Cl)cc1,+
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,+
C1CN=C(N1)C1COc2ccccc2O1,+
ClCCNP1(=O)OCCCN1CCCl,+
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(CN(C)C1=O)C(O)=O,+
CC(O)C1C2CC(SCCN=CN)=C(N2C1=O)C(O)=O,-
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(c1)S(N)(=O)=O,+
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc12,+
CCC(C(O)=O)c1ccc(cc1)N1Cc2ccccc2C1=O,+
COc1ccc2n(cc(CC(O)=O)c2c1)C(=O)c1ccccc1,+
CC(C(O)=O)c1ccc(cc1)N1Cc2ccccc2C1=O,+
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1,-
CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,-
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1,+
Cc1cc(no1)C(=O)NNCc1ccccc1,+
NNC(=O)c1ccncc1,+
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(O)=O,+
OC(=O)Cc1ccc2OCc3ccccc3C(=O)c2c1,+
COC(=O)C1=C(C)NC(C)=C(C1c1cccc2nonc12)C(=O)OC(C)C,+
CCC(C)n1ncn(-c2ccc(cc2)N2CCN(CC2)c2ccc(OCC3COC(Cn4cncn4)(O3)c3ccc(Cl)cc3Cl)cc2)c1=O,+
CC(=O)NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,-
COC1CC(OC2CCC3(C=O)C4CCC5(C)C(CCC5(O)C4CCC3(O)C2)C2=CC(=O)OC2)OC(O)C1OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,-
Fc1ccc(cc1)C(=O)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,+
CN1c2ccc(Cl)cc2C2(OC(C)=CC(=O)N2CC1=O)c1ccccc1,+
OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1,+
CN1CCC(CC1)=C1c2ccsc2C(=O)Cc2ccccc12,+
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O,+
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccccc1C=CC(=O)OC(C)(C)C)C(=O)OCC,+
COCC(NC(C)=O)C(=O)NCc1ccccc1,+
Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F,+
N#Cc1ccc(cc1)C(c1ccc(cc1)C#N)n1cncn1,+
C1CN2CC(N=C2S1)c1ccccc1,+
CCC(N1CCCC1=O)C(N)=O,+
COc1ccc2Sc3ccccc3N(CC(C)CN(C)C)c2c1,+
CCC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,+
CNCC(O)CC12CCC(c3ccccc13)c1ccccc21,+
CC1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,+
CCN(CC)CC(=O)Nc1c(C)cccc1C,+
CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C1OC(SC)C(O)C(O)C1O,-
